,Name,Code,Sector
178,명신산업,009900,Consumer Cyclical
179,아이에스동서,010780,Industrials
180,GKL,114090,Consumer Cyclical
181,풍산,103140,Industrials
182,한국앤컴퍼니,000240,Consumer Cyclical
183,일진하이솔루스,271940,Consumer Cyclical
184,SK네트웍스,001740,Industrials
185,종근당,185750,Healthcare
186,동국제강,001230,Basic Materials
187,한샘,009240,Consumer Cyclical
188,롯데렌탈,089860,Industrials
189,SK오션플랜트,100090,Industrials
190,롯데웰푸드,280360,Consumer Defensive
191,코리안리,003690,Financial Services
192,SK리츠,395400,Real Estate
193,제주항공,089590,Industrials
194,코스맥스,192820,Consumer Defensive
195,영풍,000670,Basic Materials
196,PI첨단소재,178920,Basic Materials
197,DL,000210,Industrials
198,TCC스틸,002710,Basic Materials
199,오리온홀딩스,001800,Consumer Defensive
200,롯데리츠,330590,Real Estate
201,영원무역홀딩스,009970,Consumer Cyclical
202,TKG휴켐스,069260,Basic Materials
203,이수페타시스,007660,Technology
204,OCI,456040,Industrials
205,대한유화,006650,Basic Materials
206,영풍제지,006740,Basic Materials
207,더존비즈온,012510,Technology
208,LG전자우,066575,Technology
209,한국콜마,161890,Consumer Defensive
210,NHN,181710,Communication Services
211,KG스틸,016380,Basic Materials
212,아시아나항공,020560,Industrials
213,신풍제약,019170,Healthcare
214,세아베스틸지주,001430,Basic Materials
215,제이알글로벌리츠,348950,Etc
216,율촌화학,008730,Consumer Cyclical
217,한일시멘트,300720,Basic Materials
218,ESR켄달스퀘어리츠,365550,Real Estate
219,삼양식품,003230,Consumer Defensive
220,이수스페셜티케미컬,457190,Etc
221,애경케미칼,161000,Basic Materials
222,대웅,003090,Healthcare
223,하나투어,039130,Consumer Cyclical
224,다우기술,023590,Technology
225,해성디에스,195870,Technology
226,롯데관광개발,032350,Consumer Cyclical
227,HDC현대산업개발,294870,Industrials
228,효성중공업,298040,Industrials
229,DN오토모티브,007340,Consumer Cyclical
230,미원상사,002840,Basic Materials
231,F&F홀딩스,007700,Consumer Cyclical
232,더블유게임즈,192080,Communication Services
233,넥센타이어,002350,Consumer Cyclical
234,이노션,214320,Communication Services
235,SNT모티브,064960,Consumer Cyclical
236,이엔플러스,074610,Industrials
237,진에어,272450,Industrials
238,자화전자,033240,Technology
239,CJ CGV,079160,Communication Services
240,녹십자홀딩스,005250,Healthcare
241,태광산업,003240,Basic Materials
242,SK디스커버리,006120,Industrials
243,KCC글라스,344820,Industrials
244,세아제강지주,003030,Basic Materials
245,미원에스씨,268280,Basic Materials
246,세방전지,004490,Industrials
247,대신증권,003540,Financial Services
248,SPC삼립,005610,Consumer Defensive
249,HSD엔진,082740,Industrials
250,한세실업,105630,Consumer Cyclical
251,케이카,381970,Consumer Cyclical
252,신세계인터내셔날,031430,Consumer Cyclical
253,대상,001680,Consumer Defensive
254,우리종금,010050,Financial Services
255,한국단자,025540,Industrials
256,LX홀딩스,383800,Industrials
257,삼양홀딩스,000070,Industrials
258,동원F&B,049770,Consumer Defensive
259,보령,003850,Healthcare
260,동양생명,082640,Financial Services
261,SBS,034120,Communication Services
262,대한해운,005880,Industrials
263,프레스티지바이오파마,950210,Healthcare
264,한화투자증권,003530,Financial Services
265,티웨이항공,091810,Industrials
266,한섬,020000,Consumer Cyclical
267,드림텍,192650,Technology
268,화신,010690,Consumer Cyclical
269,경동나비엔,009450,Industrials
270,이수화학,005950,Basic Materials
271,애경산업,018250,Consumer Defensive
272,미래에셋생명,085620,Financial Services
273,유안타증권,003470,Financial Services
274,엠씨넥스,097520,Technology
275,지누스,013890,Consumer Cyclical
276,동아쏘시오홀딩스,000640,Healthcare
277,쿠쿠홈시스,284740,Technology
278,현대홈쇼핑,057050,Consumer Cyclical
279,삼성SDI우,006405,Technology
280,DI동일,001530,Consumer Cyclical
281,신한알파리츠,293940,Etc
282,부광약품,003000,Healthcare
283,쿠쿠홀딩스,192400,Consumer Cyclical
284,삼성화재우,000815,Financial Services
285,동일산업,004890,Basic Materials
286,롯데손해보험,000400,Financial Services
287,파미셀,005690,Healthcare
288,서연이화,200880,Consumer Cyclical
289,미래에셋증권2우B,00680K,Financial Services
290,JW중외제약,001060,Healthcare
291,쏘카,403550,Technology
292,바이오노트,377740,Healthcare
293,신영증권,001720,Financial Services
294,일동제약,249420,Healthcare
295,티와이홀딩스,363280,Communication Services
296,한국카본,017960,Basic Materials
297,영진약품,003520,Healthcare
298,제주은행,006220,Financial Services
299,삼천리,004690,Utilities
300,LG생활건강우,051905,Consumer Defensive
301,코람코에너지리츠,357120,Real Estate
302,한화손해보험,000370,Financial Services
303,동아에스티,170900,Healthcare
304,LF,093050,Consumer Cyclical
305,SK디앤디,210980,Real Estate
306,빙그레,005180,Consumer Defensive
307,KG케미칼,001390,Basic Materials
308,HD현대에너지솔루션,322000,Technology
309,고려제강,002240,Basic Materials
310,KB스타리츠,432320,Etc
311,삼화콘덴서,001820,Technology
312,NICE,034310,Financial Services
313,삼양사,145990,Industrials
314,SK렌터카,068400,Industrials
315,세아홀딩스,058650,Basic Materials
316,송원산업,004430,Basic Materials
317,유니드,014830,Basic Materials
318,콘텐트리중앙,036420,Communication Services
319,화승엔터프라이즈,241590,Consumer Cyclical
320,롯데정보통신,286940,Technology
321,신성이엔지,011930,Technology
322,남해화학,025860,Basic Materials
323,삼부토건,001470,Industrials
